sample,epsilon,verdict,tag,seconds
69,0.2,verified,safe-incomplete,0.2007
70,0.01,verified,safe-incomplete,0.2053
70,0.02,verified,safe-incomplete,0.2047
70,0.03,verified,safe-incomplete,0.2009
70,0.04,verified,safe-incomplete,0.2086
70,0.05,verified,safe-incomplete,0.193
70,0.06,verified,safe-incomplete,0.2163
70,0.07,verified,safe-incomplete,0.2094
70,0.08,verified,safe-incomplete,0.206
70,0.09,verified,safe-incomplete,0.2046
70,0.1,verified,safe-incomplete,0.2072
70,0.11,verified,safe-incomplete,0.216
70,0.12,verified,safe-incomplete,0.2042
70,0.13,verified,safe-incomplete,0.2062
70,0.14,verified,safe-incomplete,0.2032
70,0.15,verified,safe-incomplete,0.2041
70,0.16,verified,safe-incomplete,0.2075
70,0.17,verified,safe-incomplete,0.2619
70,0.18,verified,safe-incomplete,0.2058
70,0.19,verified,safe,0.4523
70,0.2,verified,safe,0.609
71,0.01,verified,safe-incomplete,0.2019
71,0.02,verified,safe-incomplete,0.2079
71,0.03,verified,safe-incomplete,0.1992
71,0.04,verified,safe-incomplete,0.202
71,0.05,verified,safe-incomplete,0.1975
71,0.06,verified,safe-incomplete,0.2039
71,0.07,verified,safe-incomplete,0.2026
71,0.08,verified,safe-incomplete,0.1996
71,0.09,verified,safe-incomplete,0.2023
71,0.1,verified,safe-incomplete,0.2011
71,0.11,verified,safe-incomplete,0.2064
71,0.12,verified,safe-incomplete,0.2004
71,0.13,verified,safe-incomplete,0.2061
71,0.14,verified,safe-incomplete,0.2035
71,0.15,verified,safe-incomplete,0.2065
71,0.16,verified,safe-incomplete,0.2105
71,0.17,verified,safe-incomplete,0.1994
71,0.18,verified,safe-incomplete,0.2623
71,0.19,verified,safe-incomplete,0.203
71,0.2,verified,safe-incomplete,0.2051
72,0.01,verified,safe-incomplete,0.2076
72,0.02,verified,safe-incomplete,0.209
72,0.03,verified,safe-incomplete,0.2097
72,0.04,verified,safe-incomplete,0.2055
72,0.05,verified,safe-incomplete,0.2013
72,0.06,verified,safe-incomplete,0.2092
72,0.07,verified,safe-incomplete,0.2044
72,0.08,verified,safe-incomplete,0.2023
72,0.09,verified,safe-incomplete,0.2053
72,0.1,verified,safe-incomplete,0.209
72,0.11,verified,safe-incomplete,0.2063
72,0.12,verified,safe-incomplete,0.2056
72,0.13,verified,safe-incomplete,0.2091
72,0.14,verified,safe-incomplete,0.2029
72,0.15,verified,safe-incomplete,0.2081
72,0.16,verified,safe-incomplete,0.2073
72,0.17,verified,safe-incomplete,0.2038
72,0.18,verified,safe,0.4963
72,0.19,verified,safe,0.419
72,0.2,verified,safe,0.7219
73,0.01,verified,safe-incomplete,0.2046
73,0.02,verified,safe-incomplete,0.2024
73,0.03,verified,safe-incomplete,0.2087
73,0.04,verified,safe-incomplete,0.2123
73,0.05,verified,safe-incomplete,0.2055
73,0.06,verified,safe-incomplete,0.2046
73,0.07,verified,safe-incomplete,0.2083
73,0.08,verified,safe-incomplete,0.2092
73,0.09,verified,safe-incomplete,0.2082
73,0.1,verified,safe-incomplete,0.2071
73,0.11,verified,safe-incomplete,0.2077
73,0.12,verified,safe-incomplete,0.2041
73,0.13,verified,safe,0.3818
73,0.14,verified,safe,0.5897
73,0.15,falsified,unsafe-pgd,0.0232
73,0.16,falsified,unsafe-pgd,0.0205
73,0.17,falsified,unsafe-pgd,0.0197
73,0.18,falsified,unsafe-pgd,0.0212
73,0.19,falsified,unsafe-pgd,0.0225
73,0.2,falsified,unsafe-pgd,0.0221
74,0.01,verified,safe-incomplete,0.2092
74,0.02,verified,safe-incomplete,0.2034
74,0.03,verified,safe-incomplete,0.2083
74,0.04,verified,safe-incomplete,0.2073
74,0.05,verified,safe-incomplete,0.1977
74,0.06,verified,safe-incomplete,0.2093
74,0.07,verified,safe-incomplete,0.2104
74,0.08,verified,safe-incomplete,0.2028
74,0.09,verified,safe-incomplete,0.2062
74,0.1,verified,safe-incomplete,0.2074
74,0.11,verified,safe-incomplete,0.2015
74,0.12,verified,safe-incomplete,0.2054
74,0.13,verified,safe-incomplete,0.2732
74,0.14,verified,safe,0.4663
74,0.15,verified,safe,0.7478
74,0.16,verified,safe,0.963
74,0.17,verified,safe,1.4676
74,0.18,verified,safe,2.2186
74,0.19,verified,safe,5.1452
74,0.2,falsified,unsafe-pgd,0.0231
75,0.01,verified,safe-incomplete,0.209
75,0.02,verified,safe-incomplete,0.2083
75,0.03,verified,safe-incomplete,0.2141
75,0.04,verified,safe-incomplete,0.2017
75,0.05,verified,safe-incomplete,0.1978
75,0.06,verified,safe-incomplete,0.2141
75,0.07,verified,safe-incomplete,0.2083
75,0.08,verified,safe-incomplete,0.2027
75,0.09,verified,safe-incomplete,0.203
75,0.1,verified,safe-incomplete,0.2068
75,0.11,verified,safe-incomplete,0.2081
75,0.12,verified,safe-incomplete,0.2019
75,0.13,verified,safe-incomplete,0.2057
75,0.14,verified,safe-incomplete,0.2039
75,0.15,verified,safe,0.3411
75,0.16,verified,safe,0.3883
75,0.17,verified,safe,0.6681
75,0.18,verified,safe,1.0068
75,0.19,verified,safe,1.2925
75,0.2,verified,safe,1.5869
76,0.01,verified,safe-incomplete,0.1978
76,0.02,verified,safe-incomplete,0.2091
76,0.03,verified,safe-incomplete,0.209
76,0.04,verified,safe-incomplete,0.2081
76,0.05,verified,safe-incomplete,0.2005
76,0.06,verified,safe-incomplete,0.207
76,0.07,verified,safe-incomplete,0.2065
76,0.08,verified,safe-incomplete,0.203
76,0.09,verified,safe-incomplete,0.2077
76,0.1,verified,safe-incomplete,0.2058
76,0.11,verified,safe-incomplete,0.2002
76,0.12,verified,safe-incomplete,0.2029
76,0.13,verified,safe,0.4732
76,0.14,verified,safe,0.6847
76,0.15,verified,safe,1.1543
76,0.16,verified,safe,1.6306
76,0.17,verified,safe,2.321
76,0.18,verified,safe,4.5586
76,0.19,falsified,unsafe-pgd,0.0233
76,0.2,falsified,unsafe-pgd,0.0201
77,0.01,verified,safe-incomplete,0.2024
77,0.02,verified,safe-incomplete,0.2016
77,0.03,verified,safe-incomplete,0.2141
77,0.04,verified,safe-incomplete,0.2077
77,0.05,verified,safe-incomplete,0.2
77,0.06,verified,safe-incomplete,0.2087
77,0.07,verified,safe-incomplete,0.2043
77,0.08,verified,safe-incomplete,0.2043
77,0.09,verified,safe-incomplete,0.2063
77,0.1,verified,safe-incomplete,0.1921
77,0.11,verified,safe-incomplete,0.2013
77,0.12,verified,safe,0.4544
77,0.13,verified,safe,0.6102
77,0.14,verified,safe,0.8774
77,0.15,verified,safe,1.2461
77,0.16,verified,safe,1.8912
77,0.17,verified,safe,3.5773
77,0.18,verified,safe,8.0823
77,0.19,falsified,unsafe-pgd,0.0227
77,0.2,falsified,unsafe-pgd,0.0207
78,0.01,verified,safe-incomplete,0.2056
78,0.02,verified,safe-incomplete,0.2076
78,0.03,verified,safe-incomplete,0.2056
78,0.04,verified,safe-incomplete,0.2092
78,0.05,verified,safe-incomplete,0.1977
78,0.06,verified,safe-incomplete,0.2061
78,0.07,verified,safe-incomplete,0.2047
78,0.08,verified,safe-incomplete,0.2009
78,0.09,verified,safe-incomplete,0.2082
78,0.1,verified,safe,0.3453
78,0.11,verified,safe,0.5382
78,0.12,verified,safe,0.8454
78,0.13,verified,safe,1.4393
78,0.14,falsified,unsafe-pgd,0.0214
78,0.15,falsified,unsafe-pgd,0.0209
78,0.16,falsified,unsafe-pgd,0.0204
78,0.17,falsified,unsafe-pgd,0.0204
78,0.18,falsified,unsafe-pgd,0.02
78,0.19,falsified,unsafe-pgd,0.0204
78,0.2,falsified,unsafe-pgd,0.0199
79,0.01,verified,safe-incomplete,0.2042
79,0.02,verified,safe-incomplete,0.2007
79,0.03,verified,safe-incomplete,0.2032
79,0.04,verified,safe-incomplete,0.1995
79,0.05,verified,safe-incomplete,0.1943
79,0.06,verified,safe-incomplete,0.1955
79,0.07,verified,safe-incomplete,0.1903
79,0.08,verified,safe-incomplete,0.1909
79,0.09,verified,safe-incomplete,0.2003
79,0.1,verified,safe-incomplete,0.2503
79,0.11,verified,safe-incomplete,0.1974
79,0.12,verified,safe-incomplete,0.1984
79,0.13,verified,safe-incomplete,0.1881
79,0.14,verified,safe-incomplete,0.1881
79,0.15,verified,safe-incomplete,0.1875
79,0.16,verified,safe,0.3198
79,0.17,verified,safe,0.428
79,0.18,verified,safe,0.62
79,0.19,verified,safe,0.7925
79,0.2,falsified,unsafe-pgd,0.0234
80,0.01,verified,safe-incomplete,0.2039
80,0.02,verified,safe-incomplete,0.2075
80,0.03,verified,safe-incomplete,0.2028
80,0.04,verified,safe-incomplete,0.2034
80,0.05,verified,safe-incomplete,0.1974
80,0.06,verified,safe-incomplete,0.2008
80,0.07,verified,safe-incomplete,0.2082
80,0.08,falsified,unsafe-pgd,0.0259
80,0.09,falsified,unsafe-pgd,0.0201
80,0.1,falsified,unsafe-pgd,0.0199
80,0.11,falsified,unsafe-pgd,0.0203
80,0.12,falsified,unsafe-pgd,0.0197
80,0.13,falsified,unsafe-pgd,0.0198
80,0.14,falsified,unsafe-pgd,0.0198
80,0.15,falsified,unsafe-pgd,0.0208
80,0.16,falsified,unsafe-pgd,0.0781
80,0.17,falsified,unsafe-pgd,0.0205
80,0.18,falsified,unsafe-pgd,0.0202
80,0.19,falsified,unsafe-pgd,0.0203
80,0.2,falsified,unsafe-pgd,0.0202
81,0.01,verified,safe-incomplete,0.203
81,0.02,verified,safe-incomplete,0.2017
81,0.03,verified,safe-incomplete,0.1989
81,0.04,verified,safe-incomplete,0.2027
81,0.05,verified,safe-incomplete,0.1916
81,0.06,verified,safe-incomplete,0.2072
81,0.07,verified,safe-incomplete,0.2011
81,0.08,verified,safe-incomplete,0.1981
81,0.09,verified,safe-incomplete,0.1922
81,0.1,verified,safe-incomplete,0.195
81,0.11,verified,safe-incomplete,0.1924
81,0.12,verified,safe,0.4503
81,0.13,verified,safe,0.6361
81,0.14,verified,safe,1.1404
81,0.15,falsified,unsafe-pgd,0.0231
81,0.16,falsified,unsafe-pgd,0.0202
81,0.17,falsified,unsafe-pgd,0.0205
81,0.18,falsified,unsafe-pgd,0.0198
81,0.19,falsified,unsafe-pgd,0.02
81,0.2,falsified,unsafe-pgd,0.0207
82,0.01,verified,safe-incomplete,0.1919
82,0.02,verified,safe-incomplete,0.2046
82,0.03,verified,safe-incomplete,0.1953
82,0.04,verified,safe-incomplete,0.212
82,0.05,verified,safe-incomplete,0.1933
82,0.06,verified,safe-incomplete,0.2005
82,0.07,verified,safe-incomplete,0.2085
82,0.08,verified,safe-incomplete,0.2114
82,0.09,verified,safe-incomplete,0.2062
82,0.1,verified,safe-incomplete,0.1997
82,0.11,verified,safe-incomplete,0.206
82,0.12,verified,safe-incomplete,0.2618
82,0.13,verified,safe-incomplete,0.198
82,0.14,verified,safe-incomplete,0.2059
82,0.15,verified,safe-incomplete,0.2053
82,0.16,verified,safe-incomplete,0.2056
82,0.17,verified,safe-incomplete,0.2041
82,0.18,verified,safe-incomplete,0.1949
82,0.19,verified,safe-incomplete,0.1931
82,0.2,verified,safe-incomplete,0.1889
83,0.01,verified,safe-incomplete,0.2026
83,0.02,verified,safe-incomplete,0.2027
83,0.03,verified,safe-incomplete,0.1879
83,0.04,verified,safe-incomplete,0.1886
83,0.05,verified,safe-incomplete,0.1925
83,0.06,verified,safe-incomplete,0.1927
83,0.07,verified,safe-incomplete,0.1952
83,0.08,verified,safe-incomplete,0.198
83,0.09,verified,safe-incomplete,0.2046
83,0.1,verified,safe-incomplete,0.2651
83,0.11,verified,safe-incomplete,0.2109
83,0.12,verified,safe-incomplete,0.21
83,0.13,verified,safe-incomplete,0.1947
83,0.14,verified,safe-incomplete,0.201
83,0.15,verified,safe-incomplete,0.2063
83,0.16,verified,safe,0.4379
83,0.17,verified,safe,0.4984
83,0.18,verified,safe,0.7333
83,0.19,verified,safe,1.391
83,0.2,verified,safe,2.1318
84,0.01,verified,safe-incomplete,0.2054
84,0.02,verified,safe-incomplete,0.2042
84,0.03,verified,safe-incomplete,0.2
84,0.04,verified,safe-incomplete,0.2025
84,0.05,verified,safe-incomplete,0.1943
84,0.06,verified,safe-incomplete,0.2012
84,0.07,verified,safe-incomplete,0.2049
84,0.08,verified,safe-incomplete,0.204
84,0.09,verified,safe-incomplete,0.2091
84,0.1,verified,safe-incomplete,0.2079
84,0.11,verified,safe-incomplete,0.2087
84,0.12,verified,safe-incomplete,0.2039
84,0.13,verified,safe-incomplete,0.2049
84,0.14,verified,safe,0.5005
84,0.15,verified,safe,0.5508
84,0.16,verified,safe,0.828
84,0.17,verified,safe,1.0946
84,0.18,verified,safe,1.4157
84,0.19,verified,safe,2.6405
84,0.2,verified,safe,6.1853
85,0.01,verified,safe-incomplete,0.2018
85,0.02,verified,safe-incomplete,0.1949
85,0.03,verified,safe-incomplete,0.201
85,0.04,verified,safe-incomplete,0.206
85,0.05,verified,safe-incomplete,0.1932
85,0.06,verified,safe-incomplete,0.2027
85,0.07,verified,safe-incomplete,0.2042
85,0.08,verified,safe-incomplete,0.1992
85,0.09,verified,safe-incomplete,0.2025
85,0.1,verified,safe-incomplete,0.2006
85,0.11,verified,safe-incomplete,0.2032
85,0.12,verified,safe-incomplete,0.2019
85,0.13,verified,safe-incomplete,0.2089
85,0.14,verified,safe-incomplete,0.204
85,0.15,verified,safe-incomplete,0.1999
85,0.16,verified,safe-incomplete,0.1999
85,0.17,verified,safe,0.3691
85,0.18,verified,safe,0.5484
85,0.19,verified,safe,1.0297
85,0.2,verified,safe,1.6148
86,0.01,verified,safe-incomplete,0.2103
86,0.02,verified,safe-incomplete,0.2079
86,0.03,verified,safe-incomplete,0.2093
86,0.04,verified,safe-incomplete,0.2018
86,0.05,verified,safe-incomplete,0.2003
86,0.06,verified,safe-incomplete,0.2049
86,0.07,verified,safe-incomplete,0.1974
86,0.08,verified,safe-incomplete,0.2005
86,0.09,verified,safe-incomplete,0.1995
86,0.1,verified,safe-incomplete,0.2037
86,0.11,verified,safe-incomplete,0.2001
86,0.12,verified,safe-incomplete,0.1984
86,0.13,verified,safe-incomplete,0.2002
86,0.14,verified,safe-incomplete,0.2039
86,0.15,verified,safe-incomplete,0.2041
86,0.16,verified,safe,0.3375
86,0.17,verified,safe,0.4307
86,0.18,verified,safe,0.6573
86,0.19,verified,safe,1.2425
86,0.2,verified,safe,1.954
87,0.01,verified,safe-incomplete,0.2105
87,0.02,verified,safe-incomplete,0.2158
87,0.03,verified,safe-incomplete,0.2046
87,0.04,verified,safe-incomplete,0.2017
87,0.05,verified,safe-incomplete,0.2017
87,0.06,verified,safe-incomplete,0.2073
